date,shortcode,likes,comments
2021-09-17,CT6xt8aq1-X,238,13
2021-09-12,CTts39lrdVo,159,5
2021-08-26,CTB0XjXKuJn,86,0
2021-08-22,CS4pQjlK5fS,194,13
2021-08-14,CSkJIq5qo5a,162,8
2021-08-12,CSeVVzRhEjN,262,19
2021-08-11,CSbvrbzqWQg,134,3
2021-08-09,CSWGP2aK2p1,181,12
2021-08-08,CSUQzalKdTF,107,7
2021-08-07,CSRY6B2lS94,69,5
2021-08-05,CSMZHbnqtQE,107,5
2021-08-02,CSEZkdqLkMu,238,14
2021-08-02,CSEYHZQrEM6,45,0
2021-07-25,CRvfW_vLpyE,166,9
2021-07-17,CRb9tJArwUP,310,27
2021-07-11,CRMY6TSL2M6,201,10
2021-07-03,CQ4EaixLsS6,104,3
2021-06-17,CQOJHfmrvaT,279,33
2021-06-12,CQBQ8e7KFWG,376,26
2021-06-10,CP8p9vMKI-B,250,26
2021-06-05,CPun_PuLG20,465,25
2021-05-29,CPcoQepL6Mi,239,13
2021-05-22,CPLtKv2AO_-,253,27
2021-05-16,CO7sJ6qLsh1,384,14
2021-05-16,CO7qMFPrUeP,92,2
2021-05-09,COpfbZFr1gY,274,16
2021-05-08,COnGxbggSni,349,43
2021-05-02,COXRJsLLSsA,285,20
2021-05-01,COUu3Idgefg,273,37
2021-04-25,COFb71FAFQ5,270,25
2021-04-23,COAJeJwLeUm,254,43
2021-04-08,CNZqQAILcyw,117,13
2021-04-04,CNPPOw4nUAa,394,24
2021-04-02,CNKfV9zn0pW,332,55
2021-03-27,CM61xLEHu97,335,37
2021-03-16,CMeZ8bgnlOB,323,20
2021-03-14,CMZQS11n8Re,251,8
2021-03-13,CMX-g9unwC8,140,10
2021-02-27,CLzm6vwHy2h,356,30
2021-02-19,CLeNhEaHuHz,249,27
2021-02-14,CLRQAUMn09E,349,28
2021-02-12,CLMr7FdnvcW,306,28
2021-01-31,CKtWzNPHkF3,328,23
2021-01-29,CKoRSIJnfNG,170,6
2021-01-24,CKb_o3sHU6P,481,64
2021-01-23,CKYktcHHhnG,134,7
2021-01-17,CKJGRXrndV6,282,18
2021-01-15,CKD8BAhnXik,148,10
2021-01-15,CKD2pefndKs,155,27
2021-01-12,CJ9BgfZHLKi,134,9
2021-01-12,CJ8_WSVnQTo,86,4
2021-01-09,CJ1EyannpZY,141,6
2021-01-09,CJ0XZtPH-zE,221,27
2021-01-08,CJykTgoH8am,294,30
2021-01-08,CJyOTsIn_UY,87,5
2021-01-06,CJtKe67nITk,77,4
2021-01-02,CJjrqFBHA2-,103,7
2021-01-01,CJgYceHHy7I,232,34
2020-12-31,CJdN_Ajnw3C,153,16
2020-12-30,CJb7Sl2H5tP,274,25
2020-12-30,CJat0vnnZqf,104,3
2020-12-26,CJRSuF-HMaX,146,2
2020-12-25,CJPRclznRoA,251,15
2020-12-24,CJLhs0ZHif8,451,20
2020-12-23,CJKLTquH6yb,147,15
2020-12-22,CJGKuLtHAWd,156,7
2020-12-08,CIjIVbhHPjU,327,27
2020-12-04,CIXzq5FH3SD,135,9
2020-11-28,CIIRcunHEWn,531,33
2020-11-24,CH-2W7aHUlQ,119,14
2020-11-23,CH8B7IhHx3P,137,14
2020-11-19,CHxPU2bHjXb,171,8
2020-11-16,CHp_d-zn7G_,139,15
2020-11-13,CHis3bsH2z_,344,11
2020-11-13,CHiFfEPn_lJ,137,5
2020-11-07,CHSRTIQni7A,121,3
2020-10-27,CG271dmHcxm,390,38
2020-10-21,CGm3H-KHQE1,234,23
2020-10-17,CGcPCtUHTMS,105,6
2020-10-15,CGW2PVPH70J,280,38
2020-10-09,CGIXBu8HLW5,223,28
2020-10-09,CGHnCu-nDzD,164,25
2020-10-03,CF30OCKnoXR,291,29
2020-09-26,CFl2O5MHVY7,212,34
2020-09-24,CFhUjI6H0VZ,274,40
2020-09-22,CFcWvI2HOi8,114,13
2020-09-20,CFWZvYRnnWb,122,10
2020-09-14,CFHbApLl1Dm,211,22
2020-09-07,CE1e-J5FvGG,125,10
2020-08-31,CEi4E-GlGv9,83,11
2020-08-24,CER9N1wFChO,248,37
2020-08-20,CEHoTknllha,90,2
2020-08-19,CEFI555FaZm,102,4
2020-08-17,CD-6BSPl0IK,255,27
2020-08-17,CD-z2V7lN2k,85,4
2020-08-15,CD60yihlV8k,126,7
2020-08-08,CDo1OatlTq8,109,10
2020-08-08,CDoaa6XFYq0,82,6
2020-08-06,CDjiwOuHocx,84,1
2020-08-03,CDay6lsHdqK,57,3
2020-07-27,CDKA5CIHal_,93,5
2020-07-26,CDHjYVCHVoW,96,11
2020-07-25,CDEtP18H51N,196,13
2020-07-24,CDB8somnvk4,90,14
2020-07-21,CC6dTXZnLsi,79,2
2020-07-20,CC36Id5nnWy,67,7
2020-07-20,CC26rLhHVcb,100,10
